FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
11, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,19.78213215,2887.3944681,26/03/2020,Prescribed Burn,1971-72,10,1971,1971/01/01 00:00:00+00,197504.140625,2885.07800552022
12, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,55.74831064,4980.89220501,26/03/2020,Prescribed Burn,1971-72,11,1971,1971/01/01 00:00:00+00,556591.046875,4976.9059256154
13, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,53.16935021,4239.19723733,26/03/2020,Prescribed Burn,1971-72,12,1971,1971/01/01 00:00:00+00,530848.45703125,4235.82749626591
14, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,236.2919808,8437.5940732,26/03/2020,Prescribed Burn,1971-72,13,1971,1971/01/01 00:00:00+00,2359135.17578125,8430.83355122606
15, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,98.11012264,6445.93627444,26/03/2020,Prescribed Burn,1971-72,14,1971,1971/01/01 00:00:00+00,979479.30078125,6440.60393860784
16, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,63.3658881,7147.10723469,26/03/2020,Prescribed Burn,1971-72,15,1971,1971/01/01 00:00:00+00,632568.36328125,7140.95434736187
17, , ,1972-73 Prescribed Burn,1972/09/02 00:00:00+00,1972/09/02 00:00:00+00,35.36339417,3567.65726837,26/03/2020,Prescribed Burn,1972-73,16,1972,1972/01/01 00:00:00+00,353962.9453125,3569.31828948083
18, , ,1974-75 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,86.35836324,5527.53314849,26/03/2020,Prescribed Burn,1974-75,17,1974,1974/01/01 00:00:00+00,862620.64453125,5524.44850720675
19, , ,1976-77 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,32.39455247,3450.32392972,26/03/2020,Prescribed Burn,1976-77,20,1976,1976/01/01 00:00:00+00,323587.25,3448.41481859445
20, , ,1976-77 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,60.59834504,3615.39265107,26/03/2020,Prescribed Burn,1976-77,21,1976,1976/01/01 00:00:00+00,605305.42578125,3613.36960168192
21, ,76/160,1976-77 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,31.35595997,2443.51416089,26/03/2020,Prescribed Burn,1976-77,22,1976,1976/01/01 00:00:00+00,313109.2109375,2441.75877694728
22, ,76/160,1976-77 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,24.43671901,2209.58497773,26/03/2020,Prescribed Burn,1976-77,23,1976,1976/01/01 00:00:00+00,244017.98828125,2208.00586280317
23, , ,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,271.10225951,7201.05440713,26/03/2020,Prescribed Burn,1977-78,26,1977,1977/01/01 00:00:00+00,2709577.65234375,7199.13492534993
24, , ,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,287.91953527,6927.55662839,26/03/2020,Prescribed Burn,1977-78,27,1977,1977/01/01 00:00:00+00,2877757.48828125,6925.82638066507
25, , ,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,86.07460087,5176.79373386,26/03/2020,Prescribed Burn,1977-78,28,1977,1977/01/01 00:00:00+00,859793.5390625,5173.93250699443
26, , ,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,41.84399797,2776.36192531,26/03/2020,Prescribed Burn,1977-78,29,1977,1977/01/01 00:00:00+00,419818.44921875,2780.93209725251
27, ,77/160,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,38.77164386,3107.10772337,26/03/2020,Prescribed Burn,1977-78,30,1977,1977/01/01 00:00:00+00,387159.91796875,3104.87657902855
28, ,77/160,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,39.50272558,3056.03848571,26/03/2020,Prescribed Burn,1977-78,31,1977,1977/01/01 00:00:00+00,394457.5390625,3053.83351662601
29, ,77/160,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,109.34645402,4298.14943874,26/03/2020,Prescribed Burn,1977-78,32,1977,1977/01/01 00:00:00+00,1091899.5078125,4295.07228264275
30, ,77/160,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,15.05376695,2121.99389822,26/03/2020,Prescribed Burn,1977-78,33,1977,1977/01/01 00:00:00+00,150326.84765625,2120.50759104382
31, ,77/160,1977-78 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,41.47889105,3276.13429314,26/03/2020,Prescribed Burn,1977-78,34,1977,1977/01/01 00:00:00+00,414204.19921875,3273.82459104379
32, , ,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,853.97688461,14280.2926957,26/03/2020,Prescribed Burn,1978-79,39,1978,1978/01/01 00:00:00+00,8539549.7421875,14280.106989305
33, , ,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,368.23849404,10022.6990124,26/03/2020,Prescribed Burn,1978-79,40,1978,1978/01/01 00:00:00+00,3681662,10021.7322223741
34, ,78/160,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,25.34958927,2494.60729392,26/03/2020,Prescribed Burn,1978-79,41,1978,1978/01/01 00:00:00+00,253134.74609375,2492.82953007771
35, ,78/160,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,15.61155902,1846.45055116,26/03/2020,Prescribed Burn,1978-79,42,1978,1978/01/01 00:00:00+00,155896.60546875,1845.15504247587
36, ,78/160,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,38.82635184,2646.31896924,26/03/2020,Prescribed Burn,1978-79,43,1978,1978/01/01 00:00:00+00,387705.8828125,2644.41797338349
37, ,78/160,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,39.40686538,2505.06251541,26/03/2020,Prescribed Burn,1978-79,44,1978,1978/01/01 00:00:00+00,393513.95703125,2503.2989012917
38, , ,1978-79 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,101.89107844,8943.0851288,26/03/2020,Prescribed Burn,1978-79,45,1978,1978/01/01 00:00:00+00,1021192.09765625,8953.08552774613
39, , ,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,27.65352565,3649.09080523,26/03/2020,Prescribed Burn,1979-80,46,1979,1979/01/01 00:00:00+00,277953.05859375,3658.4331308926
40, , ,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,86.71281438,10640.6240437,26/03/2020,Prescribed Burn,1979-80,47,1979,1979/01/01 00:00:00+00,871443.48046875,10667.0691077952
41, ,79/161,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,104.64959457,5169.26693967,26/03/2020,Prescribed Burn,1979-80,48,1979,1979/01/01 00:00:00+00,1044986.6953125,5165.53880442967
42, ,79/161,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,115.11787901,8536.39033929,26/03/2020,Prescribed Burn,1979-80,49,1979,1979/01/01 00:00:00+00,1149528.2421875,8530.26312193852
43, ,79/161,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,37.75429564,2334.06736962,26/03/2020,Prescribed Burn,1979-80,50,1979,1979/01/01 00:00:00+00,377008.34765625,2332.41422348485
44, ,79/161,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,13.74201348,1454.95200773,26/03/2020,Prescribed Burn,1979-80,51,1979,1979/01/01 00:00:00+00,137227.08203125,1453.92975066597
45, ,79/160,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,43.70472762,4093.92586382,26/03/2020,Prescribed Burn,1979-80,52,1979,1979/01/01 00:00:00+00,436409.19140625,4090.93667112163
46, , ,1979-80 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,9.94155731,1631.54913524,26/03/2020,Prescribed Burn,1979-80,53,1979,1979/01/01 00:00:00+00,99652.33203125,1633.49071177902
47, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,28.93407161,3010.12126736,26/03/2020,Prescribed Burn,1980-81,55,1980,1980/01/01 00:00:00+00,289320.08984375,3010.0146588882
48, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,719.72804075,11850.9316045,26/03/2020,Prescribed Burn,1980-81,56,1980,1980/01/01 00:00:00+00,7197401.5,11851.0295382981
49, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,55.69464249,3248.6265567,26/03/2020,Prescribed Burn,1980-81,57,1980,1980/01/01 00:00:00+00,556991.984375,3248.75933213698
50, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,381.10497894,9982.80200009,26/03/2020,Prescribed Burn,1980-81,58,1980,1980/01/01 00:00:00+00,3811397.10546875,9983.25444081159
51, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1254.49558398,15325.5264273,26/03/2020,Prescribed Burn,1980-81,59,1980,1980/01/01 00:00:00+00,12544954.2226563,15325.5263425425
52, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,134.92500688,5291.95762727,26/03/2020,Prescribed Burn,1980-81,60,1980,1980/01/01 00:00:00+00,1349407.265625,5292.26595065853
53, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1123.29197433,16601.4145321,26/03/2020,Prescribed Burn,1980-81,61,1980,1980/01/01 00:00:00+00,11233337.8398438,16601.6975003259
54, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,111.5034176,6626.67299677,26/03/2020,Prescribed Burn,1980-81,62,1980,1980/01/01 00:00:00+00,1114474.82421875,6625.01258606882
55, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,27.3176208,3567.4366676,26/03/2020,Prescribed Burn,1980-81,63,1980,1980/01/01 00:00:00+00,274572.6953125,3576.54421782454
56, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,41.06385008,4115.62175863,26/03/2020,Prescribed Burn,1980-81,64,1980,1980/01/01 00:00:00+00,412726.43359375,4126.07118406124
57, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,52.37606788,6582.0647834,26/03/2020,Prescribed Burn,1980-81,65,1980,1980/01/01 00:00:00+00,526400.61328125,6598.63019212142
58, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,15.48287224,1872.56880901,26/03/2020,Prescribed Burn,1980-81,66,1980,1980/01/01 00:00:00+00,155612.625,1877.30392796767
59, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,10.31226376,1750.34980501,26/03/2020,Prescribed Burn,1980-81,67,1980,1980/01/01 00:00:00+00,103630.04296875,1754.65080039972
60, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,26.03808104,2340.55714317,26/03/2020,Prescribed Burn,1980-81,68,1980,1980/01/01 00:00:00+00,260999.73828125,2343.33869582782
61, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,5.91070017,1013.49672908,26/03/2020,Prescribed Burn,1980-81,69,1980,1980/01/01 00:00:00+00,59279.16015625,1014.97164171482
62, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,4.03926936,1628.79398806,26/03/2020,Prescribed Burn,1980-81,70,1980,1980/01/01 00:00:00+00,40496.9765625,1630.8939787995
63, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,8.59263782,1212.56696357,26/03/2020,Prescribed Burn,1980-81,71,1980,1980/01/01 00:00:00+00,86177.265625,1214.33596141699
64, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,3.56847533,1277.87937336,26/03/2020,Prescribed Burn,1980-81,72,1980,1980/01/01 00:00:00+00,35807.51953125,1280.07542382713
65, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,70.11766462,4222.41647405,26/03/2020,Prescribed Burn,1980-81,73,1980,1980/01/01 00:00:00+00,703634.7890625,4229.81174701163
66, ,80/162,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1.68791857,499.07676686,26/03/2020,Prescribed Burn,1980-81,74,1980,1980/01/01 00:00:00+00,16855.515625,498.726726158212
67, ,80/161,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,272.47933395,12998.3843085,26/03/2020,Prescribed Burn,1980-81,75,1980,1980/01/01 00:00:00+00,2720797.37109375,12988.8549421485
68, ,80/160,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,49.73809261,3595.1259053,26/03/2020,Prescribed Burn,1980-81,76,1980,1980/01/01 00:00:00+00,496663.64453125,3592.53232857429
69, , ,1980-81 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,143.21194414,11473.4422677,26/03/2020,Prescribed Burn,1980-81,77,1980,1980/01/01 00:00:00+00,1431997.74609375,11472.9577358979
70, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,8.3769404,2540.80733526,26/03/2020,Prescribed Burn,1981-82,80,1981,1981/01/01 00:00:00+00,83895.41796875,2542.71774690783
71, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,27.71737389,4321.49469965,26/03/2020,Prescribed Burn,1981-82,81,1981,1981/01/01 00:00:00+00,277557.6328125,4324.48744734146
72, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,4.21432694,998.04125915,26/03/2020,Prescribed Burn,1981-82,82,1981,1981/01/01 00:00:00+00,42203.03125,998.748556680138
73, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,2.84731443,761.94073115,26/03/2020,Prescribed Burn,1981-82,83,1981,1981/01/01 00:00:00+00,28513.4921875,762.480555642248
74, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,24.26060789,3001.81015493,26/03/2020,Prescribed Burn,1981-82,84,1981,1981/01/01 00:00:00+00,243012.91015625,3004.3276768962
75, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,4.34181674,777.40470821,26/03/2020,Prescribed Burn,1981-82,85,1981,1981/01/01 00:00:00+00,43487.35546875,778.023821984911
76, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,3.83583042,836.22941948,26/03/2020,Prescribed Burn,1981-82,86,1981,1981/01/01 00:00:00+00,38425.93359375,836.966356260637
77, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,7.33839916,1485.37674099,26/03/2020,Prescribed Burn,1981-82,87,1981,1981/01/01 00:00:00+00,73514.22265625,1486.69467381183
78, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,30.66102959,2504.68619578,26/03/2020,Prescribed Burn,1981-82,88,1981,1981/01/01 00:00:00+00,307093.55078125,2506.65879627826
79, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,25.81128422,2783.78558876,26/03/2020,Prescribed Burn,1981-82,89,1981,1981/01/01 00:00:00+00,258524.8125,2786.00797025193
80, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,36.09590307,6076.00796068,26/03/2020,Prescribed Burn,1981-82,90,1981,1981/01/01 00:00:00+00,361599.31640625,6081.39283429615
81, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,5.56882512,1171.87805159,26/03/2020,Prescribed Burn,1981-82,91,1981,1981/01/01 00:00:00+00,55781.02734375,1172.85333597355
82, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,2.38813138,634.03446249,26/03/2020,Prescribed Burn,1981-82,92,1981,1981/01/01 00:00:00+00,23920.953125,634.560693414339
83, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,11.80856329,1689.6194617,26/03/2020,Prescribed Burn,1981-82,93,1981,1981/01/01 00:00:00+00,118293.50390625,1691.10604965453
84, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,649.53830366,11245.3296724,26/03/2020,Prescribed Burn,1981-82,94,1981,1981/01/01 00:00:00+00,6509830.03125,11257.835809441
85, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,17.79727036,2367.40173702,26/03/2020,Prescribed Burn,1981-82,95,1981,1981/01/01 00:00:00+00,178318.73828125,2369.70261613476
86, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,4.85043024,1649.91092455,26/03/2020,Prescribed Burn,1981-82,96,1981,1981/01/01 00:00:00+00,48657.53125,1652.51578572263
87, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,312.52003288,15431.0248459,26/03/2020,Prescribed Burn,1981-82,97,1981,1981/01/01 00:00:00+00,3135772.21875,15457.1467342866
88, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,145.85240593,5907.32382629,26/03/2020,Prescribed Burn,1981-82,98,1981,1981/01/01 00:00:00+00,1463323.6875,5917.06167736512
89, , ,1981-82 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,7.82821348,4114.17244301,26/03/2020,Prescribed Burn,1981-82,99,1981,1981/01/01 00:00:00+00,78533.00390625,4120.75925548009
90, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,94.65625314,5036.14198821,26/03/2020,Prescribed Burn,1982-83,103,1982,1982/01/01 00:00:00+00,946469.58203125,5035.8913785219
91, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1184.2964062,19851.9521064,26/03/2020,Prescribed Burn,1982-83,104,1982,1982/01/01 00:00:00+00,11836538.34375,19846.5955133794
92, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,187.24005367,8650.59987735,26/03/2020,Prescribed Burn,1982-83,105,1982,1982/01/01 00:00:00+00,1870324.078125,8645.80220777595
93, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,201.59320294,22901.3245315,26/03/2020,Prescribed Burn,1982-83,106,1982,1982/01/01 00:00:00+00,2026132.91015625,22959.1855976972
94, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,95.54006994,10608.4136209,26/03/2020,Prescribed Burn,1982-83,107,1982,1982/01/01 00:00:00+00,960155.59375,10634.779943092
95, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,32.16011386,5102.56619325,26/03/2020,Prescribed Burn,1982-83,108,1982,1982/01/01 00:00:00+00,323183.03125,5115.09978432689
96, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,80.00943148,9224.50166291,26/03/2020,Prescribed Burn,1982-83,109,1982,1982/01/01 00:00:00+00,804063.6640625,9247.36517544807
97, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,50.16948814,3642.14705602,26/03/2020,Prescribed Burn,1982-83,110,1982,1982/01/01 00:00:00+00,502385.83984375,3644.65670563012
98, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,13.1605345,2000.58563468,26/03/2020,Prescribed Burn,1982-83,111,1982,1982/01/01 00:00:00+00,131815.421875,2002.18200191509
99, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,18.24990862,2773.80209805,26/03/2020,Prescribed Burn,1982-83,112,1982,1982/01/01 00:00:00+00,182854.02734375,2776.50000874204
100, ,82/160,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,22.10660587,2134.78932285,26/03/2020,Prescribed Burn,1982-83,113,1982,1982/01/01 00:00:00+00,220754.1484375,2133.2825078188
101, ,82/160,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,58.60195766,4692.77306149,26/03/2020,Prescribed Burn,1982-83,114,1982,1982/01/01 00:00:00+00,585194.42578125,4689.46804074037
102, ,82/161,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,250.19803199,17136.7185119,26/03/2020,Prescribed Burn,1982-83,115,1982,1982/01/01 00:00:00+00,2498456.75,17124.6468670714
103, ,82/161,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,329.08962028,19870.4990397,26/03/2020,Prescribed Burn,1982-83,116,1982,1982/01/01 00:00:00+00,3286349.1015625,19856.7647364264
104, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,53.80006948,3547.78454736,26/03/2020,Prescribed Burn,1982-83,117,1982,1982/01/01 00:00:00+00,539284.84765625,3552.01674502203
105, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,5.3716852,1103.27637446,26/03/2020,Prescribed Burn,1982-83,118,1982,1982/01/01 00:00:00+00,53835.69140625,1104.49626708394
106, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,33.48181277,3186.89003181,26/03/2020,Prescribed Burn,1982-83,119,1982,1982/01/01 00:00:00+00,335569.36328125,3190.46386748232
107, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,4.37947096,864.58264761,26/03/2020,Prescribed Burn,1982-83,120,1982,1982/01/01 00:00:00+00,43892.390625,865.546302325396
108, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,1.89515937,613.39916293,26/03/2020,Prescribed Burn,1982-83,121,1982,1982/01/01 00:00:00+00,18994.22265625,614.088815776988
109, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,5.79771303,973.69577492,26/03/2020,Prescribed Burn,1982-83,122,1982,1982/01/01 00:00:00+00,58105.4609375,974.772868529943
110, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,18.63443221,1871.94352509,26/03/2020,Prescribed Burn,1982-83,123,1982,1982/01/01 00:00:00+00,186755.9765625,1874.01008107149
111, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,22.292644,1895.09273569,26/03/2020,Prescribed Burn,1982-83,124,1982,1982/01/01 00:00:00+00,223422.55078125,1897.2002369617
112, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,118.256044,8367.64599684,26/03/2020,Prescribed Burn,1982-83,125,1982,1982/01/01 00:00:00+00,1184659.3984375,8375.05840993228
113, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,549.29726634,11655.5852619,26/03/2020,Prescribed Burn,1982-83,126,1982,1982/01/01 00:00:00+00,5502340.55859375,11665.4985220832
114, , ,1982-83 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,129.73383675,5402.60336924,26/03/2020,Prescribed Burn,1982-83,127,1982,1982/01/01 00:00:00+00,1299521.25,5407.14614558867
115, , ,1983-84 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,110.86622494,7114.28790604,26/03/2020,Prescribed Burn,1983-84,128,1983,1983/01/01 00:00:00+00,1109675.06640625,7117.53380037038
116, , ,1983-84 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,24.22423317,2841.29796101,26/03/2020,Prescribed Burn,1983-84,129,1983,1983/01/01 00:00:00+00,241972.15234375,2839.7128373035
